Simulation ID-3932
===================

1) General info 
-------------------
Simulation type: SIR
Thread ID: 6

2) Initial populations 
-------------------
Susceptible: 129
Infected: 3
Recovered: 0

3) Initial parameters 
-------------------
Mortality rate (m): 0.00166423
Infected mortality rate (v): 0.0207643
Recovery rate (r): 0.187872
Incubation period (I): 0.162586
Infection rate (b): 0.539701

4) Active events 
-------------------
Vaccination

5) Simulation report 
-------------------

| Time  | Susceptible | Infected | Recovered | Total Population | ||| | Births | Deaths - Susceptible | Deaths - Infected | Deaths - Recovered | Deaths - Due To Infection | Deaths - Total | 
|2.457  |33           |34        |58         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.469  |33           |33        |59         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.481  |33           |32        |60         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.493  |33           |31        |61         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.506  |33           |30        |62         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.519  |33           |29        |63         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.533  |33           |28        |64         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.547  |33           |27        |65         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.562  |32           |28        |65         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.576  |32           |27        |66         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.591  |32           |26        |67         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.607  |31           |27        |67         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.622  |31           |26        |68         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.637  |30           |27        |68         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.653  |29           |28        |68         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.667  |28           |29        |68         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.682  |27           |30        |68         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.696  |27           |29        |69         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.711  |26           |30        |69         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.726  |26           |29        |70         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
|2.741  |25           |30        |70         |125               | ||| |3       |4                     |1                  |0                   |5                          |10              |
